Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
1,4,Flat,0,0.045,0.045,1,15.6,16.1,0.5
2,5,Moderate Uphill,0.045,0.361,0.316,4,16.1,28.3,12.1
3,4,Flat,0.361,0.82,0.46,1,28.3,31.3,3.1
4,5,Moderate Uphill,0.82,0.843,0.023,3,31.3,32,0.6
5,4,Flat,0.843,0.912,0.069,2,32,33.5,1.5
6,5,Moderate Uphill,0.912,0.935,0.023,3,33.5,34.1,0.6
7,4,Flat,0.935,1.188,0.253,1,34.1,36.7,2.7
8,3,Moderate Downhill,1.188,1.51,0.322,-4,21.8,35.6,13.7
9,4,Flat,1.51,5.511,4.001,0,16.2,21.8,5.6
10,5,Moderate Uphill,5.511,5.741,0.23,3,19.2,25.9,6.7
11,4,Flat,5.741,5.856,0.115,0,25.5,26.4,0.9
12,3,Moderate Downhill,5.856,6.132,0.276,-3,16.4,25.5,9.1
13,4,Flat,6.132,6.224,0.092,1,16.1,17.1,1
14,5,Moderate Uphill,6.224,6.521,0.297,4,17.1,30,12.9
15,4,Flat,6.521,6.912,0.391,0,30,32.6,2.6
16,3,Moderate Downhill,6.912,7.234,0.322,-4,18.3,31.9,13.6
17,4,Flat,7.234,20.926,13.692,0,15.8,25.5,9.7
18,5,Moderate Uphill,20.926,20.972,0.046,3,25,26.3,1.2
19,4,Flat,20.972,21.685,0.712,0,26.3,28.1,1.9
20,5,Moderate Uphill,21.685,21.799,0.115,3,27.6,30.9,3.3
21,4,Flat,21.799,28.121,6.321,0,25.4,43,17.6
22,5,Moderate Uphill,28.121,28.374,0.253,4,43,53.2,10.2
23,4,Flat,28.374,29.017,0.644,0,52,54.2,2.2
24,5,Moderate Uphill,29.017,29.178,0.161,3,52.7,57.6,4.8
25,4,Flat,29.178,31.708,2.53,1,57.6,73,15.4
26,3,Moderate Downhill,31.708,32.26,0.552,-6,40.8,72,31.2
27,4,Flat,32.26,33.685,1.426,0,37.4,46.6,9.2
28,5,Moderate Uphill,33.685,34.122,0.437,6,46.6,73.4,26.9
29,4,Flat,34.122,34.95,0.828,0,71.4,74.4,3
30,3,Moderate Downhill,34.95,35.111,0.161,-4,65.6,71.4,5.8
31,4,Flat,35.111,35.248,0.138,-1,63.9,65.6,1.7
32,3,Moderate Downhill,35.248,35.57,0.322,-6,44.4,63.9,19.4
33,4,Flat,35.57,35.846,0.276,0,43.3,44.9,1.7
34,5,Moderate Uphill,35.846,35.869,0.023,3,44.9,45.5,0.6
35,4,Flat,35.869,35.892,0.023,2,45.5,46.1,0.5
36,5,Moderate Uphill,35.892,36.03,0.138,3,46.1,49.7,3.7
37,4,Flat,36.03,36.053,0.023,2,49.7,50.3,0.5
38,5,Moderate Uphill,36.053,36.076,0.023,3,50.3,50.9,0.6
39,4,Flat,36.076,36.145,0.069,2,50.9,52.5,1.6
40,5,Moderate Uphill,36.145,36.329,0.184,3,52.5,58.7,6.2
41,4,Flat,36.329,36.398,0.069,1,58.7,59.3,0.6
42,3,Moderate Downhill,36.398,36.697,0.299,-4,46.3,59.1,12.7
43,4,Flat,36.697,36.904,0.207,0,45.4,47.1,1.8
44,5,Moderate Uphill,36.904,36.996,0.092,3,47.1,49.5,2.4
45,4,Flat,36.996,37.226,0.23,2,49.5,53.4,3.9
46,5,Moderate Uphill,37.226,37.249,0.023,3,53.4,54,0.6
47,4,Flat,37.249,37.501,0.253,1,54,55.8,1.7
48,5,Moderate Uphill,37.501,37.547,0.046,3,55.8,57,1.2
49,4,Flat,37.547,37.57,0.023,2,57,57.5,0.6
50,5,Moderate Uphill,37.57,37.731,0.161,4,57.5,63.7,6.2
51,4,Flat,37.731,37.846,0.115,0,63.2,64.2,0.9
52,3,Moderate Downhill,37.846,38.099,0.253,-3,55.6,63.2,7.6
53,4,Flat,38.099,38.237,0.138,0,54.2,55.6,1.4
54,5,Moderate Uphill,38.237,38.329,0.092,4,55.1,58.4,3.4
55,4,Flat,38.329,38.604,0.276,0,57.5,59.3,1.8
56,3,Moderate Downhill,38.604,38.719,0.115,-3,53.6,57.5,3.8
57,4,Flat,38.719,39.8,1.081,0,52.1,54.3,2.2
58,5,Moderate Uphill,39.8,39.892,0.092,3,54.3,57.1,2.8
59,4,Flat,39.892,40.007,0.115,-1,56.5,57.7,1.2
60,3,Moderate Downhill,40.007,40.053,0.046,-3,55.2,56.5,1.3
61,4,Flat,40.053,40.168,0.115,0,54.1,55.2,1.1
62,5,Moderate Uphill,40.168,40.489,0.322,4,54.8,67.4,12.6
63,4,Flat,40.489,41.018,0.529,0,65,68.7,3.7
64,5,Moderate Uphill,41.018,41.133,0.115,3,65.9,69.7,3.8
65,4,Flat,41.133,42.03,0.897,0,69.7,71.5,1.9
66,5,Moderate Uphill,42.03,42.122,0.092,3,71.2,74.4,3.2
67,4,Flat,42.122,42.444,0.322,0,74.4,76.9,2.6
68,3,Moderate Downhill,42.444,42.628,0.184,-3,70.6,75.7,5
69,4,Flat,42.628,42.881,0.253,-1,69,70.6,1.6
70,3,Moderate Downhill,42.881,42.973,0.092,-3,66.1,69,2.9
